i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
132,2025-07-29T06:38:00+00:00,sell,1.15816,1.15836,1.15756,0.00013,-1.0,6.63,-6.63,324.9,SL
133,2025-07-29T07:11:00+00:00,sell,1.15805,1.15823,1.15751,0.00012,3.0,6.5,19.49,344.4,TP
134,2025-07-29T07:13:00+00:00,sell,1.15802,1.15819,1.15751,0.00011,3.0,6.89,20.66,365.06,TP
135,2025-07-29T07:16:00+00:00,sell,1.1578,1.15798,1.15726,0.00012,-1.0,7.3,-7.3,357.76,SL
136,2025-07-29T07:17:00+00:00,sell,1.15758,1.15778,1.15699,0.00013,-1.0,7.16,-7.16,350.6,SL
137,2025-07-29T07:18:00+00:00,sell,1.15758,1.15779,1.15694,0.00014,-1.0,7.01,-7.01,343.59,SL
138,2025-07-29T07:19:00+00:00,sell,1.1576,1.15782,1.15695,0.00015,-1.0,6.87,-6.87,336.72,SL
139,2025-07-29T09:26:00+00:00,sell,1.15769,1.15799,1.1568,0.0002,3.0,6.73,20.2,356.92,TP
140,2025-07-29T09:28:00+00:00,sell,1.1576,1.15791,1.15667,0.00021,3.0,7.14,21.42,378.34,TP
141,2025-07-29T09:29:00+00:00,sell,1.1573,1.15762,1.15634,0.00021,3.0,7.57,22.7,401.04,TP
142,2025-07-29T09:30:00+00:00,sell,1.15708,1.1574,1.15611,0.00022,3.0,8.02,24.06,425.1,TP
143,2025-07-29T09:31:00+00:00,sell,1.15706,1.15737,1.15612,0.00021,3.0,8.5,25.51,450.61,TP
144,2025-07-29T09:33:00+00:00,sell,1.15646,1.15681,1.1554,0.00023,3.0,9.01,27.04,477.64,TP
145,2025-07-29T09:34:00+00:00,sell,1.15584,1.15628,1.15451,0.00029,-1.0,9.55,-9.55,468.09,SL
146,2025-07-29T09:35:00+00:00,sell,1.15571,1.15616,1.15437,0.0003,-1.0,9.36,-9.36,458.73,SL
147,2025-07-29T09:50:00+00:00,sell,1.15548,1.15597,1.15402,0.00033,3.0,9.17,27.52,486.25,TP
148,2025-07-29T09:55:00+00:00,sell,1.15428,1.15489,1.15244,0.00041,-1.0,9.73,-9.73,476.53,SL
149,2025-07-29T09:56:00+00:00,sell,1.15441,1.15502,1.15259,0.0004,-1.0,9.53,-9.53,467.0,SL
150,2025-07-29T09:57:00+00:00,sell,1.15348,1.15415,1.15147,0.00045,-1.0,9.34,-9.34,457.66,SL
151,2025-07-29T09:58:00+00:00,sell,1.15358,1.15424,1.1516,0.00044,-1.0,9.15,-9.15,448.5,SL
152,2025-07-29T09:59:00+00:00,sell,1.15331,1.15396,1.15135,0.00044,-1.0,8.97,-8.97,439.53,SL
153,2025-07-29T10:10:00+00:00,sell,1.15279,1.15353,1.15057,0.00049,-1.0,8.79,-8.79,430.74,SL
154,2025-07-29T10:38:00+00:00,sell,1.15327,1.15372,1.15191,0.0003,-1.0,8.61,-8.61,422.13,SL
155,2025-07-29T16:00:00+00:00,sell,1.15247,1.15285,1.15133,0.00025,-1.0,8.44,-8.44,413.68,SL
156,2025-07-29T16:01:00+00:00,sell,1.15233,1.15272,1.15117,0.00026,-1.0,8.27,-8.27,405.41,SL
157,2025-07-29T16:10:00+00:00,sell,1.15225,1.15264,1.15109,0.00026,-1.0,8.11,-8.11,397.3,SL
158,2025-07-29T16:12:00+00:00,sell,1.15216,1.15255,1.15099,0.00026,-1.0,7.95,-7.95,389.36,SL
159,2025-07-29T16:35:00+00:00,sell,1.15202,1.15239,1.1509,0.00025,-1.0,7.79,-7.79,381.57,SL
160,2025-07-30T09:03:00+00:00,sell,1.15446,1.1547,1.15373,0.00016,-1.0,7.63,-7.63,373.94,SL
161,2025-07-30T09:04:00+00:00,sell,1.15409,1.15437,1.15326,0.00018,-1.0,7.48,-7.48,366.46,SL
162,2025-07-30T09:05:00+00:00,sell,1.15413,1.15441,1.15328,0.00019,-1.0,7.33,-7.33,359.13,SL
163,2025-07-30T13:36:00+00:00,sell,1.15386,1.15407,1.15323,0.00014,3.0,7.18,21.55,380.68,TP
164,2025-07-30T13:37:00+00:00,sell,1.15361,1.15384,1.15291,0.00016,-1.0,7.61,-7.61,373.06,SL
165,2025-07-30T13:38:00+00:00,sell,1.1533,1.15355,1.15254,0.00017,-1.0,7.46,-7.46,365.6,SL
166,2025-07-30T14:03:00+00:00,sell,1.15375,1.15401,1.15296,0.00018,3.0,7.31,21.94,387.54,TP
167,2025-07-30T14:07:00+00:00,sell,1.15339,1.15365,1.15262,0.00017,3.0,7.75,23.25,410.79,TP
168,2025-07-30T14:08:00+00:00,sell,1.15304,1.15332,1.1522,0.00019,-1.0,8.22,-8.22,402.58,SL
169,2025-07-30T14:09:00+00:00,sell,1.15311,1.15339,1.15226,0.00019,-1.0,8.05,-8.05,394.52,SL
170,2025-07-30T14:33:00+00:00,sell,1.15269,1.15292,1.15201,0.00015,-1.0,7.89,-7.89,386.63,SL
171,2025-07-30T14:35:00+00:00,sell,1.15245,1.15269,1.15174,0.00016,-1.0,7.73,-7.73,378.9,SL
172,2025-07-30T14:36:00+00:00,sell,1.15247,1.15271,1.15174,0.00016,-1.0,7.58,-7.58,371.32,SL
173,2025-07-30T14:38:00+00:00,sell,1.15217,1.15241,1.15144,0.00016,-1.0,7.43,-7.43,363.9,SL
174,2025-07-30T15:10:00+00:00,sell,1.15244,1.15273,1.15157,0.00019,3.0,7.28,21.83,385.73,TP
175,2025-07-30T15:11:00+00:00,sell,1.15247,1.15275,1.15162,0.00019,3.0,7.71,23.14,408.87,TP
176,2025-07-30T15:13:00+00:00,sell,1.15199,1.1523,1.15107,0.0002,3.0,8.18,24.53,433.41,TP
177,2025-07-30T15:14:00+00:00,sell,1.1519,1.15221,1.15097,0.00021,3.0,8.67,26.0,459.41,TP
178,2025-07-30T15:15:00+00:00,sell,1.15156,1.1519,1.15053,0.00023,-1.0,9.19,-9.19,450.22,SL
179,2025-07-30T15:19:00+00:00,sell,1.15143,1.15181,1.15028,0.00025,-1.0,9.0,-9.0,441.22,SL
180,2025-07-30T15:30:00+00:00,sell,1.15088,1.15135,1.14946,0.00032,3.0,8.82,26.47,467.69,TP
181,2025-07-30T15:31:00+00:00,sell,1.15012,1.15065,1.14854,0.00035,3.0,9.35,28.06,495.75,TP
182,2025-07-30T15:32:00+00:00,sell,1.15008,1.15059,1.14854,0.00034,3.0,9.92,29.75,525.5,TP
183,2025-07-30T15:33:00+00:00,sell,1.1495,1.15006,1.14781,0.00038,3.0,10.51,31.53,557.03,TP
184,2025-07-30T15:34:00+00:00,sell,1.14927,1.14989,1.14741,0.00041,3.0,11.14,33.42,590.45,TP
185,2025-07-30T15:35:00+00:00,sell,1.14888,1.14956,1.14683,0.00046,3.0,11.81,35.43,625.88,TP
186,2025-07-30T15:36:00+00:00,sell,1.14858,1.14926,1.14653,0.00046,-1.0,12.52,-12.52,613.36,SL
187,2025-07-30T15:55:00+00:00,sell,1.1477,1.14836,1.14572,0.00044,-1.0,12.27,-12.27,601.09,SL
188,2025-07-30T15:56:00+00:00,sell,1.14761,1.14826,1.14565,0.00044,-1.0,12.02,-12.02,589.07,SL
189,2025-07-30T15:57:00+00:00,sell,1.14704,1.14773,1.14496,0.00046,-1.0,11.78,-11.78,577.29,SL
190,2025-07-30T15:58:00+00:00,sell,1.14696,1.14766,1.14485,0.00047,-1.0,11.55,-11.55,565.74,SL
191,2025-07-30T16:13:00+00:00,sell,1.14622,1.14688,1.14425,0.00044,-1.0,11.31,-11.31,554.43,SL
192,2025-07-30T21:49:00+00:00,sell,1.1441,1.14519,1.14082,0.00073,3.0,11.09,33.27,587.69,TP
193,2025-07-30T21:50:00+00:00,sell,1.14333,1.14443,1.14002,0.00074,0.0,11.75,0.0,587.69,timeout
194,2025-07-30T21:53:00+00:00,sell,1.14289,1.14401,1.13953,0.00075,0.0,11.75,0.0,587.69,timeout
195,2025-07-30T22:05:00+00:00,sell,1.14157,1.14258,1.13855,0.00067,-1.0,11.75,-11.75,575.94,SL
196,2025-07-30T23:20:00+00:00,sell,1.14119,1.14155,1.14011,0.00024,3.0,11.52,34.56,610.5,TP
197,2025-07-30T23:23:00+00:00,sell,1.14051,1.14094,1.13921,0.00029,-1.0,12.21,-12.21,598.29,SL
198,2025-07-30T23:56:00+00:00,sell,1.14022,1.1405,1.13937,0.00019,-1.0,11.97,-11.97,586.32,SL
199,2025-07-30T23:57:00+00:00,sell,1.1402,1.14049,1.13934,0.00019,-1.0,11.73,-11.73,574.59,SL
200,2025-07-30T23:59:00+00:00,sell,1.14012,1.14042,1.13923,0.0002,-1.0,11.49,-11.49,563.1,SL
