time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-03-05T09:56:00+00:00,buy,1.06717,1.06722,1.06658,1.06914,0.00043,1.0,0.03,3.0,7.29,128.77,TP
2025-03-07T08:15:00+00:00,buy,1.08149,1.08154,1.08129,1.08229,0.00017,2.0,0.1,3.0,7.73,136.49,TP
2025-03-07T08:38:00+00:00,buy,1.08206,1.08211,1.08187,1.08284,0.00016,2.0,0.11,3.0,8.19,144.68,TP
2025-03-07T09:07:00+00:00,buy,1.08278,1.08283,1.08248,1.08387,0.00023,2.0,0.08,3.0,8.68,153.36,TP
2025-03-07T09:30:00+00:00,buy,1.08329,1.08334,1.08305,1.0842,0.00019,1.0,0.1,3.0,9.2,162.56,TP
2025-03-07T10:12:00+00:00,buy,1.08354,1.08359,1.08319,1.08478,0.00027,1.0,0.08,3.0,9.75,172.32,TP
2025-03-11T15:23:00+00:00,buy,1.09196,1.09201,1.09159,1.09328,0.00028,0.0,0.08,0.0,0.0,172.32,BE
2025-03-11T15:44:00+00:00,buy,1.09291,1.09296,1.09262,1.09399,0.00023,0.0,0.1,-1.0,-3.45,168.87,SL
2025-03-14T10:23:00+00:00,buy,1.08527,1.08532,1.08495,1.08643,0.00025,1.0,0.09,3.0,10.13,179.0,TP
2025-03-14T12:41:00+00:00,buy,1.08815,1.0882,1.0876,1.08999,0.0004,1.0,0.05,3.0,10.74,189.74,TP
2025-03-18T08:49:00+00:00,buy,1.09123,1.09128,1.0911,1.09183,0.00012,2.0,0.2,3.0,11.38,201.13,TP
2025-03-18T09:35:00+00:00,buy,1.09259,1.09264,1.09238,1.09343,0.00018,1.0,0.15,3.0,12.07,213.2,TP
2025-03-18T09:58:00+00:00,buy,1.09331,1.09336,1.09304,1.09432,0.00021,1.0,0.13,3.0,12.79,225.99,TP
2025-03-21T13:50:00+00:00,buy,1.08473,1.08478,1.08449,1.08566,0.0002,1.0,0.15,3.0,13.56,239.55,TP
2025-03-26T15:19:00+00:00,sell,1.07753,1.07748,1.07789,1.07624,0.00028,8.0,0.11,0.0,0.0,239.55,BE
2025-03-28T06:07:00+00:00,sell,1.07877,1.07872,1.07886,1.0783,9e-05,11.0,0.34,3.0,14.37,253.92,TP
2025-03-31T09:01:00+00:00,sell,1.08283,1.08278,1.08305,1.08197,0.00018,8.0,0.18,3.0,15.24,269.16,TP
2025-03-31T13:11:00+00:00,sell,1.08081,1.08076,1.08103,1.07995,0.00018,8.0,0.19,0.0,0.0,269.16,BE
2025-03-31T13:43:00+00:00,sell,1.08111,1.08106,1.08131,1.08032,0.00016,11.0,0.21,3.0,16.15,285.31,TP
2025-03-31T15:48:00+00:00,sell,1.08042,1.08037,1.08065,1.07952,0.00019,11.0,0.2,3.0,17.12,302.42,TP
2025-04-03T08:21:00+00:00,buy,1.09224,1.09229,1.092,1.09316,0.00019,8.0,0.2,3.0,18.15,320.57,TP
2025-04-03T09:33:00+00:00,buy,1.09503,1.09508,1.09448,1.09688,0.0004,8.0,0.1,3.0,19.23,339.8,TP
2025-04-04T06:30:00+00:00,buy,1.10781,1.10786,1.10747,1.10903,0.00026,10.0,0.17,3.0,20.39,360.19,TP
2025-04-04T08:24:00+00:00,buy,1.1104,1.11045,1.11009,1.11153,0.00024,10.0,0.2,-1.0,-7.2,352.99,SL
2025-04-04T14:38:00+00:00,buy,1.10658,1.10663,1.10556,1.10983,0.00071,8.0,0.06,0.0,0.0,352.99,BE
2025-04-07T08:18:00+00:00,buy,1.09924,1.09929,1.09882,1.10069,0.00031,8.0,0.15,3.0,21.18,374.17,TP
2025-04-07T08:54:00+00:00,buy,1.10013,1.10018,1.09962,1.10185,0.00037,8.0,0.13,3.0,22.45,396.62,TP
2025-04-09T07:18:00+00:00,buy,1.10428,1.10433,1.10377,1.106,0.00037,8.0,0.14,3.0,23.8,420.41,TP
2025-04-09T09:53:00+00:00,buy,1.10861,1.10866,1.1078,1.11123,0.00057,8.0,0.09,-1.0,-8.41,412.01,SL
