i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
41,2025-05-08T18:48:00+00:00,sell,1.12547,1.12618,1.12335,0.00047,3.0,2.29,6.86,121.15,TP
42,2025-05-08T18:49:00+00:00,sell,1.12428,1.12507,1.12191,0.00053,3.0,2.42,7.27,128.41,TP
43,2025-05-08T18:50:00+00:00,sell,1.12349,1.12432,1.121,0.00055,-1.0,2.57,-2.57,125.85,SL
44,2025-05-08T18:55:00+00:00,sell,1.12394,1.12491,1.12103,0.00065,0.0,2.52,0.0,125.85,timeout
45,2025-05-08T18:56:00+00:00,sell,1.12355,1.12451,1.12067,0.00064,-1.0,2.52,-2.52,123.33,SL
46,2025-05-08T19:13:00+00:00,sell,1.12261,1.12347,1.12002,0.00058,0.0,2.47,0.0,123.33,timeout
47,2025-05-08T19:14:00+00:00,sell,1.12247,1.1233,1.11998,0.00055,-1.0,2.47,-2.47,120.86,SL
48,2025-05-08T20:24:00+00:00,sell,1.12201,1.12237,1.12092,0.00024,-1.0,2.42,-2.42,118.44,SL
49,2025-05-08T20:25:00+00:00,sell,1.12186,1.12223,1.12076,0.00024,-1.0,2.37,-2.37,116.08,SL
50,2025-05-08T20:26:00+00:00,sell,1.12188,1.12225,1.12078,0.00024,-1.0,2.32,-2.32,113.75,SL
51,2025-05-08T20:28:00+00:00,sell,1.12173,1.12207,1.1207,0.00023,-1.0,2.28,-2.28,111.48,SL
52,2025-05-08T20:29:00+00:00,sell,1.12159,1.12195,1.12052,0.00024,-1.0,2.23,-2.23,109.25,SL
53,2025-05-09T05:01:00+00:00,sell,1.12087,1.12114,1.12007,0.00018,3.0,2.18,6.55,115.8,TP
54,2025-05-09T05:02:00+00:00,sell,1.12096,1.12124,1.12012,0.00019,3.0,2.32,6.95,122.75,TP
55,2025-05-09T05:03:00+00:00,sell,1.1207,1.12099,1.11982,0.0002,3.0,2.46,7.37,130.12,TP
56,2025-05-09T05:06:00+00:00,sell,1.12053,1.12081,1.1197,0.00018,3.0,2.6,7.81,137.93,TP
57,2025-05-09T05:08:00+00:00,sell,1.12029,1.1206,1.11935,0.00021,-1.0,2.76,-2.76,135.17,SL
58,2025-05-09T05:09:00+00:00,sell,1.12021,1.12052,1.11929,0.00021,-1.0,2.7,-2.7,132.46,SL
59,2025-05-09T05:10:00+00:00,sell,1.1198,1.12015,1.11875,0.00023,-1.0,2.65,-2.65,129.81,SL
