i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
114,2025-08-14T02:04:00+00:00,buy,1.17082,1.17074,1.17106,5e-05,3.0,TP,1.28,3.85,132.34
115,2025-08-14T02:05:00+00:00,buy,1.17082,1.17074,1.17106,5e-05,3.0,TP,1.32,3.97,136.31
116,2025-08-14T02:06:00+00:00,buy,1.17081,1.17073,1.17105,5e-05,3.0,TP,1.36,4.09,140.4
117,2025-08-14T02:25:00+00:00,buy,1.17099,1.17091,1.17122,5e-05,3.0,TP,1.4,4.21,144.61
118,2025-08-14T02:26:00+00:00,buy,1.17094,1.17086,1.17118,5e-05,3.0,TP,1.45,4.34,148.95
119,2025-08-15T01:01:00+00:00,buy,1.16499,1.1648,1.16557,0.00013,-1.0,SL,1.49,-1.49,147.46
120,2025-08-15T01:05:00+00:00,buy,1.16516,1.16497,1.16572,0.00012,-1.0,SL,1.47,-1.47,145.98
121,2025-08-15T01:06:00+00:00,buy,1.16514,1.16496,1.16567,0.00012,-1.0,SL,1.46,-1.46,144.52
122,2025-08-15T06:02:00+00:00,buy,1.16579,1.16564,1.16623,0.0001,-1.0,SL,1.45,-1.45,143.08
123,2025-08-15T06:09:00+00:00,buy,1.16583,1.1657,1.16621,8e-05,3.0,TP,1.43,4.29,147.37
124,2025-08-15T06:32:00+00:00,buy,1.16618,1.16605,1.16658,9e-05,-1.0,SL,1.47,-1.47,145.9
125,2025-08-15T06:34:00+00:00,buy,1.16613,1.16598,1.16659,0.0001,-1.0,SL,1.46,-1.46,144.44
126,2025-08-15T06:35:00+00:00,buy,1.16617,1.16602,1.16663,0.0001,-1.0,SL,1.44,-1.44,142.99
127,2025-08-15T06:40:00+00:00,buy,1.16617,1.16602,1.16662,0.0001,-1.0,SL,1.43,-1.43,141.56
128,2025-08-15T06:45:00+00:00,buy,1.16625,1.16612,1.16665,9e-05,-1.0,SL,1.42,-1.42,140.15
129,2025-08-15T06:47:00+00:00,buy,1.16633,1.1662,1.16673,9e-05,-1.0,SL,1.4,-1.4,138.75
130,2025-08-15T06:48:00+00:00,buy,1.16634,1.16621,1.16674,9e-05,-1.0,SL,1.39,-1.39,137.36
131,2025-08-15T08:48:00+00:00,buy,1.16653,1.1664,1.16692,9e-05,3.0,TP,1.37,4.12,141.48
132,2025-08-15T08:49:00+00:00,buy,1.1666,1.16647,1.167,9e-05,-1.0,SL,1.41,-1.41,140.07
133,2025-08-15T08:51:00+00:00,buy,1.16659,1.16645,1.16702,9e-05,3.0,TP,1.4,4.2,144.27
134,2025-08-15T08:55:00+00:00,buy,1.16687,1.16672,1.16733,0.0001,3.0,TP,1.44,4.33,148.6
135,2025-08-15T08:56:00+00:00,buy,1.16696,1.16681,1.16741,0.0001,-1.0,SL,1.49,-1.49,147.11
136,2025-08-15T10:02:00+00:00,buy,1.16732,1.16711,1.16794,0.00014,3.0,TP,1.47,4.41,151.52
137,2025-08-15T10:04:00+00:00,buy,1.16758,1.16735,1.16827,0.00015,-1.0,SL,1.52,-1.52,150.01
138,2025-08-15T10:05:00+00:00,buy,1.16768,1.16745,1.16838,0.00016,-1.0,SL,1.5,-1.5,148.51
139,2025-08-15T10:06:00+00:00,buy,1.1679,1.16765,1.16864,0.00016,-1.0,SL,1.49,-1.49,147.02
140,2025-08-15T12:02:00+00:00,buy,1.16826,1.16805,1.1689,0.00014,3.0,TP,1.47,4.41,151.43
141,2025-08-15T12:04:00+00:00,buy,1.16827,1.16806,1.1689,0.00014,3.0,TP,1.51,4.54,155.98
142,2025-08-15T12:06:00+00:00,buy,1.16831,1.1681,1.16894,0.00014,3.0,TP,1.56,4.68,160.66
143,2025-08-15T12:10:00+00:00,buy,1.16857,1.16834,1.16925,0.00015,-1.0,SL,1.61,-1.61,159.05
144,2025-08-15T12:11:00+00:00,buy,1.16861,1.16839,1.16928,0.00015,-1.0,SL,1.59,-1.59,157.46
