i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
382,2025-08-21T10:24:00+01:00,sell,1.16356,1.1638,1.16285,0.00016,3.0,TP,146.23,1.46,4.39,150.62
383,2025-08-21T10:27:00+01:00,sell,1.16338,1.16362,1.16265,0.00016,3.0,TP,150.62,1.51,4.52,155.14
384,2025-08-21T10:34:00+01:00,sell,1.1632,1.16344,1.16248,0.00016,-1.0,SL,155.14,1.55,-1.55,153.59
385,2025-08-21T10:53:00+01:00,sell,1.16268,1.16292,1.16196,0.00016,-1.0,SL,153.59,1.54,-1.54,152.05
386,2025-08-21T10:54:00+01:00,sell,1.16276,1.163,1.16204,0.00016,-1.0,SL,152.05,1.52,-1.52,150.53
387,2025-08-21T10:55:00+01:00,sell,1.16261,1.16286,1.16187,0.00016,-1.0,SL,150.53,1.51,-1.51,149.03
388,2025-08-21T17:30:00+01:00,sell,1.16438,1.16464,1.16361,0.00017,-1.0,SL,149.03,1.49,-1.49,147.54
389,2025-08-21T17:32:00+01:00,sell,1.16434,1.16463,1.16347,0.00019,3.0,TP,147.54,1.48,4.43,151.96
390,2025-08-21T17:33:00+01:00,sell,1.16434,1.16464,1.16343,0.0002,3.0,TP,151.96,1.52,4.56,156.52
391,2025-08-21T17:34:00+01:00,sell,1.16437,1.16467,1.16348,0.0002,3.0,TP,156.52,1.57,4.7,161.22
392,2025-08-21T17:36:00+01:00,sell,1.16437,1.16467,1.16346,0.0002,3.0,TP,161.22,1.61,4.84,166.05
393,2025-08-21T17:38:00+01:00,sell,1.16431,1.16461,1.16342,0.0002,3.0,TP,166.05,1.66,4.98,171.03
394,2025-08-21T17:40:00+01:00,sell,1.16402,1.16432,1.16312,0.0002,3.0,TP,171.03,1.71,5.13,176.17
395,2025-08-21T17:41:00+01:00,sell,1.16404,1.16433,1.16317,0.00019,3.0,TP,176.17,1.76,5.28,181.45
396,2025-08-21T17:42:00+01:00,sell,1.16375,1.16405,1.16284,0.0002,3.0,TP,181.45,1.81,5.44,186.89
397,2025-08-21T17:43:00+01:00,sell,1.16368,1.16398,1.16277,0.0002,3.0,TP,186.89,1.87,5.61,192.5
398,2025-08-21T17:44:00+01:00,sell,1.16345,1.16376,1.16252,0.00021,3.0,TP,192.5,1.93,5.78,198.28
399,2025-08-21T17:45:00+01:00,sell,1.16226,1.16273,1.16086,0.00031,-1.0,SL,198.28,1.98,-1.98,196.29
400,2025-08-21T17:46:00+01:00,sell,1.16277,1.16328,1.16124,0.00034,3.0,TP,196.29,1.96,5.89,202.18
401,2025-08-21T17:51:00+01:00,sell,1.1622,1.16277,1.1605,0.00038,-1.0,SL,202.18,2.02,-2.02,200.16
402,2025-08-21T17:56:00+01:00,sell,1.16178,1.16231,1.1602,0.00035,-1.0,SL,200.16,2.0,-2.0,198.16
403,2025-08-21T18:39:00+01:00,sell,1.16155,1.1619,1.16051,0.00023,3.0,TP,198.16,1.98,5.94,204.1
404,2025-08-21T18:40:00+01:00,sell,1.16123,1.1616,1.16012,0.00025,-1.0,SL,204.1,2.04,-2.04,202.06
405,2025-08-21T18:41:00+01:00,sell,1.16107,1.16144,1.15997,0.00025,-1.0,SL,202.06,2.02,-2.02,200.04
406,2025-08-21T18:44:00+01:00,sell,1.16102,1.16142,1.15983,0.00026,-1.0,SL,200.04,2.0,-2.0,198.04
407,2025-08-21T18:45:00+01:00,sell,1.16061,1.16103,1.15935,0.00028,-1.0,SL,198.04,1.98,-1.98,196.06
408,2025-08-21T19:10:00+01:00,sell,1.16068,1.16106,1.15954,0.00025,-1.0,SL,196.06,1.96,-1.96,194.1
409,2025-08-21T19:11:00+01:00,sell,1.16034,1.16075,1.15911,0.00027,-1.0,SL,194.1,1.94,-1.94,192.16
410,2025-08-21T19:12:00+01:00,sell,1.16047,1.16088,1.15925,0.00027,-1.0,SL,192.16,1.92,-1.92,190.24
411,2025-08-22T07:21:00+01:00,sell,1.16046,1.16059,1.16006,9e-05,3.0,TP,190.24,1.9,5.71,195.94
412,2025-08-22T07:26:00+01:00,sell,1.16027,1.16041,1.15985,9e-05,3.0,TP,195.94,1.96,5.88,201.82
413,2025-08-22T07:27:00+01:00,sell,1.16021,1.16035,1.15979,9e-05,3.0,TP,201.82,2.02,6.05,207.88
414,2025-08-22T07:28:00+01:00,sell,1.16015,1.16029,1.15973,9e-05,3.0,TP,207.88,2.08,6.24,214.11
415,2025-08-22T07:29:00+01:00,sell,1.16007,1.16021,1.15965,9e-05,3.0,TP,214.11,2.14,6.42,220.54
416,2025-08-22T07:30:00+01:00,sell,1.16007,1.16021,1.15966,9e-05,3.0,TP,220.54,2.21,6.62,227.15
417,2025-08-22T07:31:00+01:00,sell,1.15996,1.16011,1.1595,0.0001,3.0,TP,227.15,2.27,6.81,233.97
418,2025-08-22T07:32:00+01:00,sell,1.15995,1.1601,1.1595,0.0001,3.0,TP,233.97,2.34,7.02,240.99
419,2025-08-22T07:37:00+01:00,sell,1.15975,1.15992,1.15925,0.00011,3.0,TP,240.99,2.41,7.23,248.22
420,2025-08-22T07:38:00+01:00,sell,1.15922,1.15945,1.15853,0.00015,-1.0,SL,248.22,2.48,-2.48,245.73
421,2025-08-22T07:39:00+01:00,sell,1.1592,1.15943,1.1585,0.00016,-1.0,SL,245.73,2.46,-2.46,243.28
